TANGGAL,AKTUAL,PREDIKSI,PREDIKSI_MM,AKTUAL_MM
2024-02-09,0.0,0.15776062,18.205575548,0.0
2024-02-10,0.0,0.07607849,8.779457746,0.0
2024-02-11,0.0459770114942528,0.64702296,74.666449584,5.305747126436773
2024-02-12,0.0,0.30054465,34.682852610000005,0.0
2024-02-13,0.0,0.24647787,28.443546198,0.0
2024-02-14,0.0,0.23371047,26.970188238000002,0.0
2024-02-15,0.2298850574712643,0.43746504,50.483465616000004,26.528735632183903
2024-02-16,0.032183908045977,0.27386937,31.604525298000002,3.7140229885057456
2024-02-17,0.0,0.149757,17.2819578,0.0
2024-02-18,0.2390804597701149,0.21388514,24.682345156,27.58988505747126
2024-02-19,0.0,0.18555498,21.413044692000003,0.0
2024-02-20,1.0,0.5479562,63.23414548,115.4
2024-02-21,0.0735632183908046,0.2734631,31.557641740000005,8.48919540229885
2024-02-22,0.0,0.19225061,22.185720394,0.0
2024-02-23,0.0,-0.046546333,-5.371446828200001,0.0
2024-02-24,0.0,0.44154057,50.95378177800001,0.0
2024-02-25,0.9517241379310344,0.5034436,58.09739144,109.82896551724137
2024-02-26,1.0,0.74239093,85.67191332200001,115.4
2024-02-27,0.0,0.120020404,13.850354621600001,0.0
2024-02-28,1.0,0.17338228,20.008315112000002,115.4
2024-02-29,1.0,0.7905222,91.22626188,115.4
2024-03-01,1.0,0.6175828,71.26905512,115.4
2024-03-02,0.032183908045977,0.41976008,48.440313232,3.7140229885057456
2024-03-03,1.0,0.5277041,60.897053140000004,115.4
2024-03-04,0.096551724137931,0.47833607,55.199982478,11.142068965517238
2024-03-05,0.0,0.19966847,23.041741438,0.0
2024-03-06,0.2620689655172414,0.43192017,49.843587618,30.24275862068966
2024-03-07,1.0,0.62358826,71.962085204,115.4
2024-03-08,0.5655172413793104,0.4582686,52.884196440000004,65.26068965517241
2024-03-09,1.0,0.5610683,64.74728182,115.4
2024-03-10,1.0,0.93401057,107.784819778,115.4
2024-03-11,0.0,0.46216384,53.333707136,0.0
2024-03-12,0.1149425287356321,0.2704829,31.213726660000006,13.264367816091944
2024-03-13,0.0,-0.035166584,-4.0582237936,0.0
2024-03-14,0.0,0.27600634,31.851131636000005,0.0
2024-03-15,0.9655172413793104,0.79311955,91.52599607,111.42068965517242
2024-03-16,0.0459770114942528,0.4238273,48.909670420000005,5.305747126436773
2024-03-17,0.0,-0.0049984828,-0.57682491512,0.0
2024-03-18,0.0,0.22208592,25.628715168,0.0
2024-03-19,0.0,0.23647362,27.289055748,0.0
2024-03-20,0.0,0.04170753,4.813048962,0.0
2024-03-21,0.0,0.013152204,1.5177643416000002,0.0
2024-03-22,0.1839080459770115,0.25882766,29.868711964000003,21.22298850574713
2024-03-23,1.0,0.20811321,24.016264434,115.4
2024-03-24,0.032183908045977,0.12614708,14.557373032000001,3.7140229885057456
2024-03-25,0.3034482758620689,0.11707289,13.510211506000001,35.01793103448275
2024-03-26,0.0505747126436781,0.531421,61.325983400000005,5.836321839080453
2024-03-27,0.032183908045977,0.47711337,55.058882898,3.7140229885057456
2024-03-28,0.0,0.33361617,38.499306018,0.0
2024-03-29,1.0,0.6580301,75.93667354,115.4
2024-03-30,0.0,0.24207279,27.935199966000003,0.0
2024-03-31,0.0,0.15495595,17.881916630000003,0.0
2024-04-01,0.0,0.7803721,90.05494034,0.0
2024-04-02,0.3999999999999999,0.96598953,111.47519176200001,46.15999999999999
2024-04-03,0.0689655172413793,0.5636804,65.04871815999999,7.958620689655171
2024-04-04,0.2298850574712643,0.20738399,23.932112446,26.528735632183903
2024-04-05,0.0,0.35181603,40.599569862,0.0
2024-04-06,0.0,0.5442945,62.811585300000004,0.0
2024-04-07,0.0,0.15436684,17.813933336,0.0
2024-04-08,0.128735632183908,0.14859584,17.147959936000003,14.856091954022983
2024-04-09,1.0,0.34840307,40.205714278,115.4
2024-04-10,0.0597701149425287,0.57061815,65.84933451,6.897471264367812
2024-04-11,1.0,0.623378,71.9378212,115.4
2024-04-12,1.0,0.6168973,71.18994842000001,115.4
2024-04-13,0.064367816091954,0.35701182,41.199164028,7.428045977011491
